user_id,gender,married,has_children,home_country,home_city,home_airport,user_age,account_age,total_sessions,avg_session_duration,avg_page_clicks,avg_clicks_per_min,avg_seats,avg_checked_bags,num_trip_discounts,avg_trip_discount_amount,total_airlines,top_airline,total_origin_airports,total_destinations,top_destination,total_destination_airports,avg_rooms,total_hotels,total_hotel_brands,top_hotel_brand,total_trips,avg_trip_duration_days,avg_trip_distance_km,avg_base_trip_cost,avg_total_trip_cost,type_browsing,type_complete-package,type_flight-hotel,type_flight-one-way,type_flight-roundtrip,type_hotel-only,status_cancelled,status_complete,status_none,category_extended,category_other,category_week,category_weekend,browsing_frequency,booking_frequency,booking_conversion,cancellation_rate,top_booking_type,top_trip_category
152583,f,False,False,usa,colorado springs,cos,38,32,8,2.315,18.625,8.0325,0.125,0.25,2,0.15,1,westjet,1,1,toronto,1,0.125,1,1,radisson,1,0.75,2178.79,125.85375,125.85375,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0,type_browsing,category_extended
153982,f,False,True,canada,toronto,ykz,46,32,8,2.3075,18.75,8.11125,0.375,0.125,1,0.15,2,spirit airlines,1,3,baltimore,3,0.375,3,3,banyan tree,3,1.375,1282.5433333333333,244.85875,244.85875,5,3,0,0,0,0,0,3,5,0,1,1,1,0.25,0.09,0.38,0.0,type_browsing,category_other
160754,f,True,True,usa,new york,lga,47,32,8,1.345,10.75,8.01875,0.125,0.125,0,,1,air canada,1,1,ottawa,1,0.125,1,1,fairmont,1,0.625,526.12,91.9525,91.9525,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0,type_browsing,category_extended
164522,f,True,False,usa,kansas city,mci,49,32,8,1.39125,11.125,7.94375,0.125,0.125,3,0.05000000000000001,1,british airways,1,1,new york,1,0.125,1,1,fairmont,1,2.0,1786.07,448.79,426.3505,7,1,0,0,0,0,0,1,7,1,0,0,0,0.25,0.03,0.12,0.0,type_browsing,category_extended
167852,f,False,False,usa,tampa,mcf,18,32,8,0.9675,7.875,8.125,0.0,0.0,3,0.10000000000000002,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.25,0.0,0.0,,type_browsing,category_extended
171470,f,False,False,usa,atlanta,atl,25,31,8,30.708750000000002,55.75,6.455,0.5,0.125,1,0.1,2,indonesia airasia,1,2,johor bahru,2,0.0,0,0,,3,1.875,15567.853333333333,1379.75875,1343.7806249999999,5,2,0,0,1,0,2,1,5,1,2,0,0,0.26,0.1,0.38,0.67,type_browsing,category_other
174997,f,False,False,usa,grand rapids,grr,33,31,8,16.52875,31.5,7.0775,0.5,0.125,2,0.125,3,air serbia,1,3,chicago,3,0.25,2,2,conrad,3,1.125,3515.736666666666,476.31125,476.31125,5,3,0,0,0,0,1,2,5,0,1,2,0,0.26,0.1,0.38,0.33,type_browsing,category_week
175032,f,False,False,usa,houston,iah,30,31,9,1.738888888888889,14.11111111111111,8.118888888888888,0.4444444444444444,0.1111111111111111,3,0.16666666666666666,2,american airlines,1,2,las vegas,2,0.6666666666666666,3,3,conrad,3,2.0,1358.82,352.02777777777777,329.3777777777778,6,2,0,0,0,1,0,3,6,1,1,0,1,0.29,0.1,0.33,0.0,type_browsing,category_extended
181157,f,True,False,usa,houston,hou,54,31,8,2.3525,19.125,8.094999999999999,0.75,0.375,3,0.16666666666666666,3,air france,1,2,oklahoma city,2,0.75,3,2,radisson,3,2.125,1194.2233333333331,387.67875,340.0194375,5,3,0,0,0,0,0,3,5,0,1,2,0,0.26,0.1,0.38,0.0,type_browsing,category_week
182191,f,False,True,usa,phoenix,phx,20,31,8,11.094999999999999,18.5,7.11,0.25,0.125,1,0.1,1,alaska airlines,1,1,portland,1,0.0,0,0,,1,0.0,1625.28,67.20875,67.20875,7,1,0,0,0,0,1,0,7,0,1,0,0,0.26,0.03,0.12,1.0,type_browsing,category_other
187212,f,True,True,usa,los angeles,lax,55,31,8,1.98,16.0,8.11875,0.375,0.25,2,0.25,3,american airlines,1,3,new york,3,0.375,3,3,banyan tree,3,1.625,2338.713333333333,349.82124999999996,349.82124999999996,5,3,0,0,0,0,0,3,5,1,0,1,1,0.26,0.1,0.38,0.0,type_browsing,category_extended
189676,f,False,True,usa,fort worth,ftw,37,31,8,1.44,11.625,7.99,0.375,0.25,1,0.15,1,american airlines,1,1,san jose,1,0.5,2,2,choice hotels,2,2.625,2284.55,633.2887499999999,633.2887499999999,6,1,0,0,0,1,0,2,6,1,1,0,0,0.26,0.06,0.25,0.0,type_browsing,category_extended
190866,f,False,False,usa,tallahassee,tlh,38,31,9,2.5644444444444443,20.666666666666668,8.093333333333334,0.5555555555555556,0.2222222222222222,1,0.05,3,delta air lines,1,4,portland,5,0.5555555555555556,5,4,fairmont,5,2.3333333333333335,2269.542,476.22222222222223,476.22222222222223,4,5,0,0,0,0,0,5,4,1,1,2,1,0.29,0.16,0.56,0.0,type_complete-package,category_week
195192,f,False,False,usa,chicago,mdw,29,31,8,3.47375,28.125,8.0875,0.25,0.0,2,0.1,1,spirit airlines,1,1,new york,1,0.25,1,1,nh hotel,1,0.5,1174.42,89.28625,89.28625,7,1,0,0,0,0,0,1,7,0,0,1,0,0.26,0.03,0.12,0.0,type_browsing,category_week
204943,m,False,False,canada,ottawa,yow,42,30,8,17.392500000000002,36.5,7.22,1.25,1.125,2,0.15000000000000002,6,american airlines,1,3,new york,5,1.25,6,6,intercontinental,7,8.125,1872.4514285714286,2100.095,2088.12525,1,7,0,0,0,0,1,6,1,5,0,2,0,0.27,0.23,0.88,0.14,type_complete-package,category_extended
204997,f,True,False,usa,kansas city,mci,39,30,8,23.31875,54.875,6.3825,1.0,0.375,2,0.22499999999999998,3,jetblue airways,1,4,charlotte,4,0.75,3,2,crowne plaza,5,4.75,3003.4,1237.57875,1205.542375,3,4,0,0,1,0,2,3,3,4,1,0,0,0.27,0.17,0.62,0.4,type_complete-package,category_extended
205044,f,True,True,canada,toronto,ykz,41,30,9,1.838888888888889,14.88888888888889,8.045555555555556,0.6666666666666666,0.1111111111111111,1,0.05,3,american airlines,1,2,los angeles,3,0.6666666666666666,3,3,accor,3,2.2222222222222223,2531.0066666666667,690.9277777777778,681.7052777777777,6,3,0,0,0,0,0,3,6,2,1,0,0,0.3,0.1,0.33,0.0,type_browsing,category_extended
206011,f,False,True,usa,kansas city,mci,40,30,8,2.435,19.5,7.9662500000000005,0.5,0.125,3,0.15,4,american airlines,1,4,chicago,4,0.375,3,3,aman resorts,4,2.125,1473.5500000000002,289.69875,284.3465625,4,3,0,0,1,0,0,4,4,1,0,2,1,0.27,0.13,0.5,0.0,type_browsing,category_week
216796,f,False,False,usa,cincinnati,cvg,23,30,8,8.18625,15.625,7.2275,0.5,0.5,4,0.15,1,ryanair,1,1,barcelona,1,0.25,1,1,conrad,2,3.0,7041.48,1287.9675,1126.9715625,6,2,0,0,0,0,1,1,6,2,0,0,0,0.27,0.07,0.25,0.5,type_browsing,category_extended
217136,f,False,True,usa,little rock,lit,39,30,8,1.65625,13.25,7.9625,0.125,0.0,2,0.175,1,kenmore air,1,1,seattle,1,0.25,2,2,banyan tree,2,1.0,2867.32,208.94625000000002,208.94625000000002,6,1,0,0,0,1,0,2,6,0,2,0,0,0.27,0.07,0.25,0.0,type_browsing,category_other
220725,f,False,False,usa,stockton,sck,41,30,9,15.814444444444446,35.111111111111114,7.335555555555555,0.5555555555555556,0.1111111111111111,2,0.1,4,airtran airways,1,4,san antonio,4,0.4444444444444444,3,3,rosewood,5,3.7777777777777777,2773.504,529.4355555555555,526.7743888888889,4,4,0,0,1,0,1,4,4,4,1,0,0,0.3,0.17,0.56,0.2,type_browsing,category_extended
224996,f,False,True,canada,halifax,yhz,43,30,8,1.57625,12.75,7.93125,0.25,0.0,1,0.1,2,air canada,1,2,calgary,2,0.125,1,1,banyan tree,2,0.875,2353.01,141.07625000000002,141.07625000000002,6,1,0,0,1,0,0,2,6,0,2,0,0,0.27,0.07,0.25,0.0,type_browsing,category_other
226367,f,False,False,usa,washington,iad,44,30,8,1.76,14.25,8.07,0.5,0.25,1,0.05,3,air canada,1,3,chicago,3,0.5,3,3,best western,3,1.5,1655.8233333333335,362.77625,356.356375,5,3,0,0,0,0,0,3,5,0,2,1,0,0.27,0.1,0.38,0.0,type_browsing,category_other
228195,f,False,True,usa,los angeles,lax,27,30,9,1.5966666666666667,12.88888888888889,8.007777777777777,0.0,0.0,1,0.2,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,9,0,0,0,0,0,0,0,9,0,0,0,0,0.3,0.0,0.0,,type_browsing,category_extended
228872,m,False,False,usa,san antonio,rnd,35,30,8,1.96875,15.75,8.04875,0.125,0.125,1,0.35,1,american airlines,1,1,portland,1,0.25,2,2,hilton,2,2.0,2770.22,248.15125,248.15125,6,1,0,0,0,1,0,2,6,2,0,0,0,0.27,0.07,0.25,0.0,type_browsing,category_extended
229009,f,False,False,usa,stockton,sck,18,30,8,4.41125,18.0,7.23625,0.5,0.125,0,,3,mandarin airlines,1,3,taipei,3,0.25,2,2,intercontinental,4,3.0,6690.9,660.23625,660.23625,4,3,0,0,1,0,1,3,4,1,2,0,1,0.27,0.13,0.5,0.25,type_browsing,category_other
229108,f,False,False,usa,burlington,btv,26,30,8,16.87,40.125,7.25125,0.25,0.0,4,0.15,1,klm royal dutch airlines,1,1,austin,1,0.0,0,0,,2,1.0,2669.38,109.6525,109.6525,6,1,0,0,1,0,1,1,6,1,1,0,0,0.27,0.07,0.25,0.5,type_browsing,category_extended
229330,f,True,False,usa,colorado springs,cos,48,30,7,1.7128571428571429,13.857142857142858,8.071428571428571,0.7142857142857143,0.0,1,0.1,3,ryanair,1,3,fort worth,3,0.7142857142857143,3,3,banyan tree,3,2.142857142857143,1155.0466666666666,489.5142857142858,489.5142857142858,4,3,0,0,0,0,0,3,4,2,1,0,0,0.23,0.1,0.43,0.0,type_browsing,category_extended
232647,f,False,False,usa,birmingham,bhm,18,30,8,1.565,12.5,7.945,0.125,0.125,1,0.1,1,southwest airlines,1,1,new york,1,0.125,1,1,wyndham,2,2.0,1391.58,349.1375,349.1375,6,0,0,0,1,1,0,2,6,1,1,0,0,0.27,0.07,0.25,0.0,type_browsing,category_extended
249521,f,True,True,canada,ottawa,yow,60,29,8,2.34375,18.875,7.985,0.125,0.125,3,0.19999999999999998,1,air canada,1,1,vancouver,1,0.25,2,2,extended stay,2,0.875,3551.8,164.5025,160.4525,6,1,0,0,0,1,0,2,6,0,1,1,0,0.28,0.07,0.25,0.0,type_browsing,category_other
252835,f,False,True,usa,chicago,ord,38,29,8,1.80375,14.625,8.10625,0.625,0.375,2,0.175,4,american airlines,1,3,new york,4,0.5,4,4,hilton,5,3.25,1867.7800000000002,422.31875,409.116875,3,4,0,0,1,0,0,5,3,4,1,0,0,0.28,0.17,0.62,0.0,type_complete-package,category_extended
258451,f,False,False,usa,miami,opf,24,29,8,3.6637500000000003,20.875,7.476249999999999,0.0,0.0,1,0.15,0,,0,0,,0,0.25,1,1,banyan tree,2,3.5,,623.0,623.0,6,1,0,0,0,1,1,1,6,2,0,0,0,0.28,0.07,0.25,0.5,type_browsing,category_extended
264470,f,False,True,usa,bakersfield,bfl,46,29,8,1.85,14.75,8.00125,0.25,0.125,2,0.07500000000000001,2,delta air lines,1,2,new york,2,0.25,2,2,four seasons,2,1.625,2305.16,425.00249999999994,418.0021875,6,2,0,0,0,0,0,2,6,2,0,0,0,0.28,0.07,0.25,0.0,type_browsing,category_extended
276512,f,True,True,usa,austin,aus,42,28,8,1.525,12.25,8.09625,0.125,0.125,3,0.16666666666666666,1,united airlines,1,1,philadelphia,1,0.125,1,1,wyndham,1,0.5,2299.15,74.46125,74.46125,7,1,0,0,0,0,0,1,7,0,1,0,0,0.29,0.04,0.12,0.0,type_browsing,category_other
281952,f,False,False,usa,louisville,lou,37,28,8,2.43875,19.75,8.09375,0.25,0.375,1,0.15,2,delta air lines,1,2,calgary,2,0.25,2,2,aman resorts,2,0.75,1845.015,151.34,140.9178125,6,2,0,0,0,0,0,2,6,0,0,2,0,0.29,0.07,0.25,0.0,type_browsing,category_week
283325,f,True,False,usa,dallas,dal,51,28,8,1.76,14.25,8.05875,0.125,0.0,3,0.08333333333333333,1,air canada,1,1,quebec,1,0.375,2,2,starwood,2,1.25,2650.43,458.78375,420.180375,6,1,0,0,0,1,0,2,6,1,0,1,0,0.29,0.07,0.25,0.0,type_browsing,category_extended
290123,f,True,False,usa,houston,hou,41,28,8,2.63375,21.375,8.0875,1.25,0.75,0,,5,united airlines,1,6,denver,6,1.125,5,5,aman resorts,6,3.125,2418.068333333333,959.71625,959.71625,2,4,1,0,1,0,0,6,2,2,2,2,0,0.29,0.21,0.75,0.0,type_complete-package,category_extended
297546,f,True,False,usa,new york,jfk,52,28,8,3.215,25.875,8.0125,0.75,0.375,1,0.05,2,southwest airlines,1,4,chicago,4,0.875,5,4,rosewood,5,4.625,1784.7325,638.465,627.965,3,4,0,0,0,1,0,5,3,4,0,1,0,0.29,0.18,0.62,0.0,type_complete-package,category_extended
298253,f,True,True,usa,los angeles,lax,47,28,8,1.53,12.25,7.95125,0.125,0.25,2,0.30000000000000004,1,allegiant air,1,1,new york,1,0.0,0,0,,1,0.375,3974.21,89.0525,89.0525,7,0,0,0,1,0,0,1,7,0,0,1,0,0.29,0.04,0.12,0.0,type_browsing,category_week
299476,f,True,False,usa,atlanta,atl,39,28,9,2.57,20.77777777777778,8.147777777777778,0.1111111111111111,0.0,3,0.21666666666666665,1,airtran airways,1,1,houston,1,0.1111111111111111,1,1,radisson,1,0.4444444444444444,1109.92,37.153333333333336,37.153333333333336,8,1,0,0,0,0,0,1,8,0,0,1,0,0.32,0.04,0.11,0.0,type_browsing,category_week
306165,f,False,False,usa,cleveland,cle,21,28,8,1.3762500000000002,11.125,8.0775,0.0,0.0,0,,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.29,0.0,0.0,,type_browsing,category_extended
306819,f,True,True,usa,new york,jfk,60,28,8,17.69875,41.125,7.11625,0.375,0.125,2,0.05,2,westjet,1,2,hamilton,2,0.375,2,2,intercontinental,3,1.25,486.39000000000004,192.01999999999998,192.01999999999998,5,3,0,0,0,0,1,2,5,0,0,3,0,0.29,0.11,0.38,0.33,type_browsing,category_week
312488,m,True,False,usa,new york,jfk,31,27,7,1.0057142857142858,8.0,7.971428571428571,0.0,0.0,2,0.225,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,7,0,0,0,0,0,0,0,7,0,0,0,0,0.26,0.0,0.0,,type_browsing,category_extended
313724,f,False,False,usa,tulsa,tul,52,27,8,18.505,43.875,7.234999999999999,0.75,0.5,0,,4,american airlines,1,4,los angeles,4,1.0,5,5,marriott,6,4.0,1824.3920000000003,645.5375,645.5375,2,5,0,0,0,1,1,5,2,3,0,3,0,0.3,0.22,0.75,0.17,type_complete-package,category_extended
316527,f,True,True,canada,winnipeg,ywg,42,27,8,2.16625,17.375,8.01,0.625,0.125,2,0.1,4,air canada,1,4,new york,4,0.625,4,4,hilton,4,2.625,2014.805,938.86125,935.1796875,4,4,0,0,0,0,0,4,4,1,3,0,0,0.3,0.15,0.5,0.0,type_browsing,category_other
317688,f,False,True,usa,indianapolis,ind,41,27,8,2.0675,16.625,8.055,0.5,0.25,3,0.18333333333333335,3,united airlines,1,4,chicago,4,0.5,4,4,accor,4,1.875,1608.4075,373.4675,369.7003125,4,4,0,0,0,0,0,4,4,2,0,1,1,0.3,0.15,0.5,0.0,type_browsing,category_extended
322867,f,False,False,usa,mobile,bfm,47,27,8,1.28125,10.25,7.949999999999999,0.125,0.125,3,0.15000000000000002,1,american airlines,1,1,austin,1,0.125,1,1,hilton,1,1.125,921.78,210.63,210.63,7,1,0,0,0,0,0,1,7,1,0,0,0,0.3,0.04,0.12,0.0,type_browsing,category_extended
324191,f,False,False,usa,san diego,san,40,27,8,1.335,10.75,8.115,0.375,0.125,2,0.175,2,airtran airways,1,1,los angeles,2,0.375,2,2,extended stay,2,1.75,175.77,213.7175,213.7175,6,2,0,0,0,0,0,2,6,1,1,0,0,0.3,0.07,0.25,0.0,type_browsing,category_extended
328590,f,False,False,usa,san diego,nzy,56,27,8,18.09125,47.875,7.22,0.75,0.125,3,0.13333333333333333,3,westjet,1,3,new york,3,0.5,2,2,rosewood,4,2.125,3487.21,670.2012500000001,609.12575,4,3,0,0,1,0,1,3,4,2,1,0,1,0.3,0.15,0.5,0.25,type_browsing,category_extended
330764,f,False,False,usa,detroit,det,39,27,8,17.685,46.875,7.21875,0.75,0.25,1,0.05,1,westjet,1,1,ottawa,1,0.25,2,2,accor,4,1.625,671.43,263.005,260.658,4,1,0,0,1,2,1,3,4,2,1,1,0,0.3,0.15,0.5,0.25,type_browsing,category_extended
330893,f,True,True,usa,oklahoma city,okc,44,27,8,2.0675,16.625,8.02125,0.375,0.25,1,0.05,3,delta air lines,1,3,houston,3,0.375,3,3,choice hotels,3,1.625,1582.7966666666669,239.20125000000002,239.20125000000002,5,3,0,0,0,0,0,3,5,1,1,1,0,0.3,0.11,0.38,0.0,type_browsing,category_extended
331039,f,True,True,canada,london,yxu,45,27,8,10.1675,24.75,7.13375,1.0,0.75,3,0.08333333333333333,1,american airlines,1,1,los angeles,1,0.5,1,1,aman resorts,2,2.75,3365.3,1042.9675,990.819125,6,2,0,0,0,0,1,1,6,2,0,0,0,0.3,0.07,0.25,0.5,type_browsing,category_extended
334787,f,False,False,usa,minneapolis,msp,53,27,8,1.8475,14.875,8.0125,0.375,0.25,2,0.05,3,air canada,1,3,boston,3,0.375,3,3,best western,3,1.5,1394.7966666666669,251.27125,247.2059375,5,3,0,0,0,0,0,3,5,1,0,1,1,0.3,0.11,0.38,0.0,type_browsing,category_extended
337227,f,True,False,usa,santa ana,sna,35,27,8,1.2825,10.375,8.2225,0.0,0.0,1,0.05,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.3,0.0,0.0,,type_browsing,category_extended
338086,f,False,True,usa,washington,iad,41,27,7,2.0142857142857142,16.142857142857142,8.02,0.14285714285714285,0.0,1,0.3,1,airtran airways,1,1,san diego,1,0.14285714285714285,1,1,shangri-la,1,0.7142857142857143,3621.95,124.69000000000001,124.69000000000001,6,1,0,0,0,0,0,1,6,1,0,0,0,0.26,0.04,0.14,0.0,type_browsing,category_extended
340166,m,True,True,usa,san francisco,sfo,51,27,8,1.3625,11.0,8.095,0.0,0.0,2,0.1,0,,0,0,,0,0.125,1,1,banyan tree,1,0.375,,88.875,88.875,7,0,0,0,0,1,0,1,7,0,0,1,0,0.3,0.04,0.12,0.0,type_browsing,category_week
343928,f,True,False,usa,el paso,bif,65,27,8,1.88,15.25,8.067499999999999,0.375,0.125,3,0.2333333333333333,2,jetstar pacific,1,2,ho chi minh city,2,0.125,1,1,intercontinental,2,2.25,8138.6900000000005,751.8275,624.0925,6,1,0,0,1,0,0,2,6,2,0,0,0,0.3,0.07,0.25,0.0,type_browsing,category_extended
347778,f,False,False,usa,las vegas,lsv,50,26,9,2.2211111111111115,18.0,8.135555555555555,0.8888888888888888,0.5555555555555556,2,0.15000000000000002,4,ryanair,1,4,new york,4,0.7777777777777778,4,4,hilton,5,2.2222222222222223,2487.968,802.2988888888889,802.2988888888889,4,4,0,0,1,0,0,5,4,2,1,2,0,0.35,0.19,0.56,0.0,type_browsing,category_extended
348817,f,False,False,canada,calgary,yyc,29,26,8,1.935,15.625,8.005,0.375,0.25,1,0.05,3,allegiant air,1,3,montreal,3,0.5,4,4,choice hotels,4,2.0,2651.476666666667,629.0775,629.0775,4,3,0,0,0,1,0,4,4,1,2,1,0,0.31,0.15,0.5,0.0,type_browsing,category_other
348863,f,True,False,usa,san antonio,skf,68,26,8,1.24375,10.125,8.098749999999999,0.0,0.0,1,0.1,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,8,0,0,0,0,0,0,0,8,0,0,0,0,0.31,0.0,0.0,,type_browsing,category_extended
349132,f,False,False,usa,cincinnati,cvg,49,26,9,1.838888888888889,14.777777777777779,8.023333333333333,0.4444444444444444,0.1111111111111111,1,0.1,2,delta air lines,1,2,montreal,2,0.5555555555555556,3,3,best western,3,2.111111111111111,1057.67,482.8955555555555,458.2733333333333,6,2,0,0,0,1,0,3,6,3,0,0,0,0.35,0.12,0.33,0.0,type_browsing,category_extended
350648,f,False,False,usa,lincoln,lnk,18,26,8,13.451250000000002,36.875,7.18125,0.25,0.0,2,0.22499999999999998,1,american airlines,1,1,san antonio,1,0.25,1,1,hyatt,2,1.25,1266.44,238.045,238.045,6,2,0,0,0,0,1,1,6,2,0,0,0,0.31,0.08,0.25,0.5,type_browsing,category_extended
353271,f,False,True,usa,milwaukee,mke,27,26,7,1.1,8.714285714285714,7.95,0.0,0.0,2,0.15,0,,0,0,,0,0.0,0,0,,0,0.0,,0.0,0.0,7,0,0,0,0,0,0,0,7,0,0,0,0,0.27,0.0,0.0,,type_browsing,category_extended
353694,f,False,True,usa,new york,lga,40,26,8,1.5425,12.5,8.0525,0.375,0.125,3,0.08333333333333333,2,southwest airlines,1,2,chicago,2,0.375,2,2,choice hotels,2,1.625,1355.4850000000001,212.67125,212.67125,6,1,1,0,0,0,0,2,6,2,0,0,0,0.31,0.08,0.25,0.0,type_browsing,category_extended
354050,f,False,False,usa,detroit,det,50,26,8,2.65125,21.5,8.17625,0.75,0.125,2,0.05,5,airtran airways,1,5,austin,5,0.75,5,4,accor,5,2.875,2150.166,558.86,545.996375,3,4,1,0,0,0,0,5,3,3,1,1,0,0.31,0.19,0.62,0.0,type_complete-package,category_extended
354260,f,False,False,usa,providence,pvd,50,26,8,1.7974999999999999,14.5,8.07,0.25,0.25,2,0.15,2,jetblue airways,1,2,fresno,2,0.125,1,1,banyan tree,2,0.875,3329.33,243.12624999999997,243.12624999999997,6,1,0,0,1,0,0,2,6,0,0,1,1,0.31,0.08,0.25,0.0,type_browsing,category_week
354311,f,True,False,usa,tucson,dma,46,26,8,1.5325,12.25,7.89625,0.25,0.125,1,0.1,1,american airlines,1,2,detroit,2,0.125,1,1,radisson,2,0.875,3061.805,182.61124999999998,182.61124999999998,6,1,0,0,1,0,0,2,6,1,0,1,0,0.31,0.08,0.25,0.0,type_browsing,category_extended
354950,m,True,False,usa,amarillo,ama,54,26,8,1.56875,12.5,7.9225,0.125,0.125,1,0.1,1,air canada,1,1,ottawa,1,0.125,1,1,rosewood,1,1.0,2463.06,168.6925,168.6925,7,1,0,0,0,0,0,1,7,1,0,0,0,0.31,0.04,0.12,0.0,type_browsing,category_extended
356046,f,False,False,canada,ottawa,yow,35,26,8,1.56625,12.625,8.01375,0.375,0.0,2,0.1,2,delta air lines,1,2,hamilton,2,0.375,2,2,aman resorts,2,1.0,1896.9950000000001,172.22625,172.22625,6,2,0,0,0,0,0,2,6,1,1,0,0,0.31,0.08,0.25,0.0,type_browsing,category_extended
357737,f,True,True,usa,san diego,san,42,26,8,18.35125,52.375,7.3175,0.625,0.25,3,0.08333333333333333,4,cebu pacific,1,3,new york,4,0.75,5,4,crowne plaza,6,4.25,2470.612,814.6125,798.80475,2,5,0,0,0,1,1,5,2,4,1,1,0,0.31,0.23,0.75,0.17,type_complete-package,category_extended
359072,f,True,True,canada,montreal,yul,52,26,8,16.39375,39.75,7.10375,0.5,0.125,2,0.2,3,united airlines,1,3,memphis,3,0.5,3,3,radisson,4,2.25,1089.6725,256.68375000000003,256.68375000000003,4,4,0,0,0,0,1,3,4,2,2,0,0,0.31,0.15,0.5,0.25,type_browsing,category_extended
